GENE 	AB_1-0	AB_1-1	AB_1-2	AB_1-3	AB_1-4	AB_2-0	AB_2-1	AB_2-2	AB_2-3	AB_2-4	AB_4-0	AB_4-1	AB_4-2	AB_4-3	AB_4-4
MARC1	6824	2606	1618	2328	3994	9204	3964	1350	1118	974	4644	3730	840	734	550
MARCH1	1098	354	974	638	1064	1448	266	882	426	324	492	694	348	256	106
MARC2	296	152	144	136	164	364	104	118	136	300	456	312	198	218	168
MARCH2	380	314	460	1142	1322	328	188	394	784	1754	618	494	494	720	1142
MARCH3	1660	344	1422	506	222	930	232	852	464	1182	982	460	500	812	876
MARCH4	162	162	208	98	88	336	146	188	84	430	386	230	138	182	152
MARCH5	8454	4004	9708	11418	8192	7370	4626	8202	5826	5610	4188	6306	5120	3842	2448
MARCH6	6824	9000	19850	25460	20572	15792	9304	15018	12822	16836	10628	11896	11150	13808	8038
MARCH7	26512	9726	39266	46158	28432	29576	12470	22442	17188	16278	14354	15300	9960	11980	6182
MARCH8	742	800	1106	1838	1156	1180	778	942	642	870	898	1036	734	740	426
MARCH9	156	64	200	634	574	206	90	146	158	662	380	90	176	232	254
MARCH10	14	2	10	0	10	14	10	14	2	0	10	2	0	0	12
MARCH11	28	76	54	710	346	0	20	32	200	1158	32	70	218	1054	114
SEPT1	10	26	28	74	52	14	24	28	62	68	36	52	48	44	58
SEPT2	55116	47252	110926	108008	67178	92148	52146	67812	46730	50404	66292	62606	47204	40576	26616
SEPT3	4576	708	2452	2442	2008	5896	766	1706	1204	1562	4422	1482	1146	1252	728
SEPT4	90	218	62	92	66	46	64	66	68	174	308	180	266	252	172
SEPT5	0	16	46	46	20	16	14	26	52	42	46	36	54	100	50
SEPT6	878	872	1396	6216	3900	996	796	972	2076	5294	1714	1618	1712	3664	2192
SEPT7	25782	12806	42038	36084	28160	33242	16392	30746	19680	17726	13828	18764	13456	12116	9758
SEPT8	2390	3344	6172	7368	6388	3426	2878	4080	3698	4834	4248	5086	3880	3794	3174
SEPT9	18786	41856	35344	63944	29624	27926	35238	27080	18716	35878	49718	48822	48030	50164	27918
SEPT10	23178	11860	36306	36178	20450	15708	15396	23380	15048	11418	8586	18874	13260	11608	7040
SEPT11	21350	31904	87792	77952	59626	49192	36340	63654	36246	32584	23114	38488	32818	26478	21230
SEPT12	0	0	4	0	0	0	0	6	2	0	0	0	0	2	0
SEPT14	0	0	18	30	10	6	10	10	2	0	10	10	6	0	6
SEPT15	16568	9174	16440	14012	13080	11928	9168	9554	7174	9118	10758	14416	7402	8008	5336
DEC1	0	92	108	42	28	2	48	78	74	96	6	106	126	136	26
1/2-SBSRNA4	48	30	88	86	96	70	42	70	80	144	92	104	52	32	66
A1BG	84	32	68	128	82	42	16	62	96	446	180	156	328	302	218
A1BG-AS1	42	68	68	82	56	40	50	64	54	74	50	82	60	46	56
A1CF	2	4	2	20	34	6	0	8	12	16	8	10	8	0	2
A2LD1	90	68	146	476	288	82	66	138	198	402	138	152	166	106	146
A2M	42	28	18	4	4	12	0	6	6	4	20	14	4	2	4
A2ML1	362	60	30	854	300	608	64	42	360	774	756	154	60	310	134
A2MP1	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0
A4GALT	110	1736	962	508	680	428	1604	930	316	382	690	2056	840	608	570
A4GNT	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	0	0	0	0	0	12	0	0	0	0	0	2	8	0	2
AAAS	2102	3064	2260	3766	2092	1568	1704	1716	1682	4910	3700	3824	2952	4102	3518
AACS	4768	3542	5414	8254	3632	8278	4424	4390	4144	6918	9564	4690	3240	3626	3138
AACSP1	0	2	0	4	2	8	20	2	4	8	76	52	2	6	6
AADAC	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	20	6	18	2	14	16	0	18	4	6	38	0	24	46	44
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1174	2974	2614	2494	2010	1392	2736	2024	1682	1870	1034	3572	1270	1320	556
AAGAB	8774	9392	19584	19704	15120	13184	10578	12714	8532	11380	9430	11662	7532	6786	6102
AAK1	3768	2328	6380	6456	4400	6484	2870	4552	2816	2830	3988	4242	2516	2918	1788
AAMP	5898	10942	6818	9184	6804	7986	8928	5464	4698	11106	17838	14632	8512	8872	7020
AANAT	0	18	6	14	14	12	0	2	4	8	16	2	0	6	10
AARS	14790	29130	26256	103152	34084	24538	25824	20756	25320	45968	47348	49578	51600	65752	21294
AARS2	1218	2612	2974	3686	2972	2268	3108	2628	2078	4482	4810	4836	3822	2272	2536
AARSD1	2254	3296	2378	3652	2400	2458	3064	2176	2140	3638	3622	4352	2820	3630	2038
AASDH	1466	860	3036	6010	3700	2510	1006	2288	2036	2200	1234	1702	1506	1340	804
AASDHPPT	15928	5400	18732	14634	13512	16042	7784	11656	6872	5048	5536	6484	3932	2406	2548
AASS	27674	2442	8512	8218	9918	39322	2722	7154	6156	6468	25502	5718	4968	3942	3704
AATF	4106	9686	8310	8252	4504	7024	8720	5322	3568	9142	8908	9982	8720	8508	5524
AATK	0	20	48	34	72	56	16	26	22	100	132	70	44	4	30
AATK-AS1	0	0	2	0	2	0	0	0	0	0	6	8	2	2	0
ABAT	298	92	754	1974	1282	730	188	676	520	452	878	322	734	576	292
ABCA1	6222	422	3326	3966	6986	11464	482	2550	2164	4374	4684	748	354	442	2152
ABCA10	4	14	18	12	8	8	14	16	10	6	20	10	0	0	0
ABCA11P	816	436	578	1004	488	972	694	478	330	418	744	670	358	332	192
ABCA12	8	6	24	32	38	16	6	4	2	4	32	24	2	2	8
ABCA13	0	18	20	20	0	24	32	0	6	2	14	26	2	4	0
ABCA17P	0	2	12	0	0	0	2	18	6	4	14	6	12	4	6
ABCA2	102	280	514	2736	2782	456	434	612	1182	3308	882	778	616	986	1138
ABCA3	282	442	308	1288	1430	584	458	208	744	1754	1006	606	296	688	1026
ABCA4	0	34	4	34	24	0	30	4	28	46	10	22	6	10	4
ABCA5	1024	130	330	846	778	1398	132	324	322	292	514	208	72	102	110
ABCA6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
ABCA7	88	300	398	2224	2502	204	164	510	1254	4554	612	626	1044	1338	1560
ABCA8	0	0	12	10	4	0	0	12	2	2	0	2	2	0	4
ABCA9	16	4	2	12	18	0	0	4	10	2	0	10	4	6	4
ABCB1	128	38	16	44	10	166	66	18	102	492	122	36	28	82	18
ABCB10	3336	2710	4824	3550	2484	2974	2574	3038	1912	1766	2082	3424	1882	1924	1128
ABCB11	2	0	6	62	36	0	0	6	12	12	2	0	0	0	14
ABCB4	34	118	76	58	50	62	108	30	12	60	64	116	84	28	20
ABCB5	2	4	0	8	6	0	24	16	4	2	0	24	0	0	2
ABCB6	1464	1584	4666	14434	9336	2110	2122	4194	6010	13594	3892	3622	5338	5346	6768
ABCB7	4716	3652	6104	11450	6042	7754	4352	5058	4232	3930	5528	6146	4586	5344	1766
ABCB8	464	706	910	1752	1544	876	764	884	1100	2502	1528	1332	1286	1174	1794
ABCB9	156	136	326	278	238	278	98	260	80	220	446	140	150	108	84
ABCC1	5126	10250	13736	17638	11034	10544	11598	11660	7144	11446	12712	17724	13076	14382	6162
ABCC10	386	1408	1334	2472	1470	1128	1186	1008	804	1814	2066	2186	948	1604	882
ABCC11	14	10	18	40	6	2	10	8	8	8	10	48	20	22	14
ABCC12	0	16	24	16	24	16	0	16	14	12	2	6	26	14	20
ABCC13	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
ABCC2	0	28	72	76	72	32	40	34	66	70	26	62	30	20	38
ABCC3	0	4	12	32	4	4	8	4	2	4	4	14	16	54	14
ABCC4	3488	3576	10438	46384	46536	6320	3976	6574	12560	13294	3482	5380	2378	3696	5072
ABCC5	2796	4806	5968	12910	7706	6838	5562	5574	4874	6778	6332	7842	4716	7880	3980
ABCC6	8	36	24	98	228	14	70	54	44	162	20	86	38	44	28
ABCC6P1	2	6	14	120	228	0	2	8	56	78	8	6	6	4	8
ABCC6P2	2	0	0	2	6	2	0	0	0	0	0	0	2	0	6
ABCC8	38	14	30	26	4	68	0	12	4	4	46	8	24	4	0
ABCC9	1136	1130	6148	4336	2774	1888	588	3894	8398	5818	1682	2032	2536	2990	2250
ABCD1	82	3516	2732	1610	886	148	2494	1884	1710	3234	408	3878	2252	1588	2372
ABCD2	18	4	4	0	4	12	0	2	2	0	16	0	0	0	0
ABCD3	6926	3772	10394	7510	7990	9970	5150	6944	3680	2568	3938	5888	2808	2180	1878
ABCD4	2810	5636	8456	10796	12280	3962	6094	7648	7740	11366	5264	8260	5850	5094	5174
ABCE1	46522	16218	43806	23358	16916	47414	18598	19474	8940	7836	24252	25436	9336	8146	5372
ABCF1	8996	13394	11972	16098	8972	15418	13382	7954	6578	13094	23322	20312	8850	11094	6728
ABCF2	5712	10942	7636	10622	5160	10034	8890	5308	3262	6754	14470	11600	5998	8234	4274
ABCF3	1722	3100	2602	3564	2286	2308	2142	1892	1598	3768	6234	4350	2604	3156	2276
ABCG1	244	28	16	110	104	620	14	18	40	534	1046	40	10	2	66
ABCG2	1112	1858	2154	984	416	1048	2100	1106	116	56	838	2332	1242	2012	186
ABCG4	0	34	306	230	258	32	34	356	498	742	52	78	382	350	268
ABCG5	0	4	2	0	2	10	0	0	0	8	8	0	6	0	0
ABCG8	0	2	0	0	0	0	0	0	6	0	0	0	0	0	2
ABHD1	0	6	8	0	0	22	24	2	2	2	22	8	2	30	2
ABHD10	5612	2650	8214	12936	7626	7148	3348	6526	4122	2984	2998	3284	3012	2736	1462
ABHD11	252	304	364	860	752	220	148	224	314	856	554	524	370	248	368
ABHD11-AS1	0	2	4	4	6	0	0	8	2	4	4	0	0	0	4
ABHD12	2348	3430	2718	3232	2388	2252	2342	2108	1654	3468	4964	4518	2572	2580	2404
ABHD12B	24	882	302	158	72	20	780	112	52	46	36	950	128	142	54
ABHD13	4458	2306	7650	6350	5390	6356	2562	4458	3002	2430	2706	3082	1642	1254	1250
ABHD14A	112	96	124	124	220	42	34	72	68	298	78	68	112	84	146
ABHD14A-ACY1	14	0	0	0	6	0	0	0	0	2	0	0	0	0	0
ABHD14B	250	314	632	750	426	176	296	410	314	614	392	746	902	578	298
ABHD15	74	106	256	48	190	88	88	132	48	146	118	184	62	24	126
ABHD16A	966	3032	1828	3588	2232	1050	2286	1592	1856	3048	1878	3544	1940	2180	1574
ABHD16B	18	42	58	38	18	14	14	30	24	138	96	48	28	18	62
ABHD2	3626	3822	7926	9140	7370	7710	4150	5734	3080	4564	6230	6358	4628	3686	2690
ABHD3	1024	560	2470	1178	1498	552	574	1532	1322	862	434	1184	932	462	612
ABHD4	2448	3110	2356	9068	5858	2590	2226	1686	3140	6556	4700	4628	2778	4450	4726
ABHD5	4176	2934	5038	2686	2918	4258	2350	2808	1692	2106	3132	3500	1742	1344	1354
ABHD6	258	1972	2030	1692	1494	438	1056	912	894	2178	722	2444	1810	2156	1384
ABHD8	286	420	228	652	540	320	268	238	404	1296	724	698	414	740	678
ABI1	6236	2706	7540	9524	5236	4748	2100	4594	2946	3732	3496	3570	3062	3910	2374
ABI2	13236	8078	23358	43272	23800	22298	7840	14646	14986	16480	13680	14786	11410	13900	6996
ABI3	70	268	86	246	80	98	136	84	54	62	262	344	278	314	124
ABI3BP	46	6	104	90	106	42	10	110	84	106	16	20	8	0	22
ABL1	6506	12320	13088	44828	17210	12994	11468	9562	7440	14222	19112	15938	12098	15608	8404
ABL2	2744	3534	7700	12054	6712	6458	4198	6238	5386	5652	4604	5532	4568	4236	3162
ABLIM1	6132	19190	8042	9328	6416	13706	18748	5078	3746	4888	9796	31596	4500	4988	4008
ABLIM2	18	18	14	4	6	48	2	10	10	30	84	8	28	72	32
ABLIM3	68	82	110	86	20	60	60	134	10	8	80	130	214	70	14
ABO	12	4	14	36	32	8	4	4	8	32	10	12	16	6	8
ABP1	0	2	0	0	0	8	0	4	0	0	4	6	2	0	2
ABR	2036	2592	8108	22972	8830	4450	2968	6636	8586	18928	5462	4908	8810	12092	7022
ABRA	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABT1	5666	8694	7554	10786	7644	7756	6796	7224	5270	9076	11072	8524	6418	6724	5054
ABTB1	150	56	178	266	340	120	90	242	146	214	214	94	240	104	250
ABTB2	836	1602	2408	9214	1960	1788	1308	2616	1968	3594	2700	1656	4362	6862	3274
ACAA1	1282	2766	1358	1584	1198	1814	1854	1240	892	2216	3790	2940	1532	1310	1180
ACAA2	7658	14834	11322	12594	8428	9690	10200	8640	7444	18340	16012	17390	15932	13566	9118
ACACA	14302	23060	37038	36468	14468	53964	30182	27230	15402	14820	39498	37690	18498	21332	11236
ACACB	302	516	464	700	708	1064	478	436	200	280	1418	946	366	244	236
ACAD10	502	884	1014	2682	2288	918	738	998	1180	2230	1410	1858	1246	1092	966
ACAD11	116	106	70	208	206	38	80	124	94	290	110	278	144	110	74
ACAD8	6708	1806	2200	2280	2306	5844	1498	1296	1168	2076	5262	2858	974	1408	1048
